,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT PRESENT,ZIP CODE,TOTAL UNITS,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,NEIGHBORHOOD
20478,2,2,C7,10033,16,12,4,3650,14809,6100000,WASHINGTON HEIGHTS LOWER 
20479,2,2,C1,10032,54,54,0,16598,47930,11208000,WASHINGTON HEIGHTS LOWER 
20480,2,2,C7,10032,62,60,2,9694,37170,11500000,WASHINGTON HEIGHTS LOWER 
20481,2,2,C1,10032,32,32,0,7375,36125,8500000,WASHINGTON HEIGHTS LOWER 
20482,2,2,C1,10032,31,31,0,7315,26005,6678171,WASHINGTON HEIGHTS LOWER 
20483,2,2,C1,10032,25,25,0,6206,22585,5591027,WASHINGTON HEIGHTS LOWER 
20484,2,2,C1,10032,26,26,0,6206,22585,5021570,WASHINGTON HEIGHTS LOWER 
20485,2,2,C1,10032,31,31,0,7294,25400,5849871,WASHINGTON HEIGHTS LOWER 
20486,2,2,C1,10032,30,30,0,7294,25400,6859361,WASHINGTON HEIGHTS LOWER 
20488,2,2,C1,10033,21,21,0,4192,14665,7500000,WASHINGTON HEIGHTS LOWER 
20489,2,2,D1,10032,17,17,0,13301,55740,15500000,WASHINGTON HEIGHTS LOWER 
20490,2,2,D7,10032,24,21,3,5225,25296,5700000,WASHINGTON HEIGHTS LOWER 
20491,2,2,D7,10032,43,38,5,9992,43748,15000000,WASHINGTON HEIGHTS LOWER 
20492,2,2,D7,10032,45,39,6,9992,46309,14750000,WASHINGTON HEIGHTS LOWER 
20494,2,2,D7,10032,42,40,2,13974,51550,14400000,WASHINGTON HEIGHTS LOWER 
20495,2,2,D1,10032,54,54,0,13239,56634,9992000,WASHINGTON HEIGHTS LOWER 
20496,2,2,D7,10032,49,48,1,10000,44748,9725000,WASHINGTON HEIGHTS LOWER 
20497,2,2,D1,10033,38,38,0,2512,13350,5100000,WASHINGTON HEIGHTS LOWER 
20499,2,2,D1,10032,49,49,0,12490,53034,13000000,WASHINGTON HEIGHTS LOWER 
20571,2,2,D1,10033,43,43,0,12789,59805,9000000,WASHINGTON HEIGHTS LOWER 
20574,2,2,D4,10033,78,74,4,7900,78425,42000000,WASHINGTON HEIGHTS LOWER 
20659,4,4,O9,10032,4,0,4,2500,3000,2350000,WASHINGTON HEIGHTS LOWER 
20660,4,4,K9,10032,2,0,2,2492,5432,2100000,WASHINGTON HEIGHTS LOWER 
20665,4,4,G1,10032,1,0,1,9992,29776,6599500,WASHINGTON HEIGHTS LOWER 
20666,4,4,G2,10032,1,0,1,2500,500,550000,WASHINGTON HEIGHTS LOWER 
20667,4,4,G1,10033,3,0,3,7500,15000,2972120,WASHINGTON HEIGHTS LOWER 
20679,1,1,C0,10040,3,3,0,2248,1866,832000,WASHINGTON HEIGHTS UPPER 
20682,2B,2,C5,10033,8,8,0,1248,2050,250000,WASHINGTON HEIGHTS UPPER 
20683,2,2,C7,10033,18,16,2,5000,15592,5150000,WASHINGTON HEIGHTS UPPER 
20687,2,2,C7,10033,16,14,2,3495,14583,12125000,WASHINGTON HEIGHTS UPPER 
20688,2A,2,C3,10033,4,4,0,1199,2590,400000,WASHINGTON HEIGHTS UPPER 
20689,2,2,C7,10033,31,28,3,5000,21262,5225000,WASHINGTON HEIGHTS UPPER 
20690,2B,2,C5,10033,9,9,0,1413,2164,726152,WASHINGTON HEIGHTS UPPER 
20692,2A,2,C3,10033,4,4,0,1109,2103,900000,WASHINGTON HEIGHTS UPPER 
20693,2,2,C7,10040,31,27,4,5750,23580,5988000,WASHINGTON HEIGHTS UPPER 
20694,2,2,C7,10040,43,40,3,10000,37860,8982000,WASHINGTON HEIGHTS UPPER 
20696,2,2,C1,10033,21,21,0,3500,11605,4500000,WASHINGTON HEIGHTS UPPER 
20697,2,2,C7,10033,27,23,4,5800,23835,1200000,WASHINGTON HEIGHTS UPPER 
20698,2,2,C1,10033,31,31,0,6210,22840,5150000,WASHINGTON HEIGHTS UPPER 
20699,2A,2,C2,10033,5,5,0,1873,2420,500000,WASHINGTON HEIGHTS UPPER 
20700,2,2,C1,10040,20,20,0,4900,17480,6500000,WASHINGTON HEIGHTS UPPER 
20704,2,2,C1,10040,62,62,0,13500,55595,2087500,WASHINGTON HEIGHTS UPPER 
20705,2,2,C7,10040,26,25,1,6250,21080,4025000,WASHINGTON HEIGHTS UPPER 
20706,2,2,C1,10040,25,25,0,6400,21080,3950000,WASHINGTON HEIGHTS UPPER 
20707,2,2,C1,10040,29,29,0,7700,26980,16000000,WASHINGTON HEIGHTS UPPER 
20710,2,2,C1,10040,38,38,0,7500,30155,4945000,WASHINGTON HEIGHTS UPPER 
20711,2,2,C1,10040,26,26,0,5250,18500,687225,WASHINGTON HEIGHTS UPPER 
20712,2,2,C1,10040,26,26,0,5250,18500,324576,WASHINGTON HEIGHTS UPPER 
20713,2,2,C1,10040,26,26,0,5250,18500,162288,WASHINGTON HEIGHTS UPPER 
20715,2,2,C7,10040,44,40,4,16500,35710,8000000,WASHINGTON HEIGHTS UPPER 
20717,2,2,C1,10040,72,72,0,15000,52920,10300000,WASHINGTON HEIGHTS UPPER 
20719,2,2,C1,10040,15,15,0,2970,10245,5000000,WASHINGTON HEIGHTS UPPER 
20721,2,2,C1,10040,21,21,0,2970,10365,9400000,WASHINGTON HEIGHTS UPPER 
20727,2,2,C1,10033,25,25,0,5775,23400,5700000,WASHINGTON HEIGHTS UPPER 
20728,2,2,C7,10033,74,69,5,12400,54003,18650000,WASHINGTON HEIGHTS UPPER 
20729,2,2,D7,10033,37,36,1,10300,39578,9000000,WASHINGTON HEIGHTS UPPER 
20730,2,2,D1,10033,54,54,0,7494,41736,7900000,WASHINGTON HEIGHTS UPPER 
20731,2,2,D7,10040,95,94,1,18211,80263,18000000,WASHINGTON HEIGHTS UPPER 
20732,2,2,D1,10040,95,95,0,18211,79482,18000000,WASHINGTON HEIGHTS UPPER 
20734,2,2,D7,10033,57,52,5,12400,51144,16000000,WASHINGTON HEIGHTS UPPER 
21046,2B,2,S9,10033,7,5,2,1875,4448,1300000,WASHINGTON HEIGHTS UPPER 
21050,4,4,K2,10033,20,0,20,16025,25865,36700000,WASHINGTON HEIGHTS UPPER 
21051,4,4,K2,10033,10,0,10,15983,28960,10500000,WASHINGTON HEIGHTS UPPER 
21055,4,4,K1,10033,2,0,2,3475,2722,3500000,WASHINGTON HEIGHTS UPPER 
21056,4,4,G1,10033,2,0,2,10000,29460,3828380,WASHINGTON HEIGHTS UPPER 
